CustomerId,Surname,Geography,Gender,Age,EstimatedSalary,target
15634602,Hargrave,France,F,42,101348.88,1
15647311,Hill,Spain,F,41,112542.58,0
15619304,Onio,France,F,42,113931.57,1
15701354,Boni,France,F,39,93826.63,1
15737888,Mitchell,Spain,F,43,79084.1,0
15574012,Chu,Spain,M,44,149756.71,0
15592531,Bartlett,France,M,50,10062.8,1
15656148,Obinna,Germany,F,29,119346.88,0
15792365,He,France,M,44,74940.5,1
15592389,H?,France,M,27,71725.73,1
15767821,Bearce,France,M,31,80181.12,1
15737173,Andrews,Spain,M,24,76390.01,0
15632264,Kay,France,F,34,26260.98,1
15691483,Chin,France,F,25,190857.79,1
15600882,Scott,Spain,F,35,65951.65,0
15643966,Goforth,Germany,M,45,64327.26,0
15737452,Romeo,Germany,M,58,5097.67,0
15788218,Henderson,Spain,F,24,14406.41,0
15661507,Muldrow,Spain,M,45,158684.81,0
15568982,Hao,France,F,24,54724.03,1
15577657,McDonald,France,M,41,170886.17,1
15597945,Dellucci,Spain,F,32,138555.46,0
15699309,Gerasimov,Spain,F,38,118913.53,0
15725737,Mosman,France,M,46,8487.75,1
15625047,Yen,France,F,38,187616.16,1
15738191,Maclean,France,M,25,124508.29,1
15736816,Young,Germany,M,36,170041.95,0
15700772,Nebechi,France,M,44,38433.35,1
15728693,McWilliams,Germany,F,43,100187.43,0
15656300,Lucciano,France,M,29,53483.21,1
15589475,Azikiwe,Spain,F,39,140469.38,0
15706552,Odinakachukwu,France,M,36,156731.91,1
15750181,Sanderson,Germany,M,41,81898.81,0
15659428,Maggard,Spain,F,42,34410.55,0
15732963,Clements,Spain,F,29,142033.07,0
15794171,Lombardo,France,F,45,27822.99,1
15788448,Watson,Spain,M,31,114066.77,0
15729599,Lorenzo,Spain,M,33,98453.45,0
15717426,Armstrong,France,M,36,40812.9,1
15585768,Cameron,Germany,M,41,178074.04,0
15619360,Hsiao,Spain,M,40,70154.22,0
15738148,Clarke,France,F,51,181297.65,1
15687946,Osborne,France,F,61,94153.83,1
15755196,Lavine,France,F,49,194365.76,1
15684171,Bianchi,Spain,F,61,158338.39,0
15754849,Tyler,Germany,F,32,126517.46,0
15602280,Martin,Germany,F,27,119708.21,0
15771573,Okagbue,Germany,F,39,117622.8,0
15766205,Yin,Germany,M,38,90878.13,0
15771873,Buccho,Germany,F,37,194099.12,0
15616550,Chidiebele,Germany,M,44,198059.16,0
15768193,Trevisani,Germany,M,36,86424.57,0
15683553,O'Brien,France,F,33,116978.19,1
15702298,Parkhill,Germany,M,41,164040.94,0
15569590,Yoo,Germany,M,42,40014.76,0
15760861,Phillipps,France,M,43,113410.49,1
15630053,Tsao,France,M,45,87107.57,1
15647091,Endrizzi,Germany,M,19,45613.75,0
15623944,T'ien,Spain,F,66,1643.11,0
15804771,Velazquez,France,M,51,46775.28,1
15651280,Hunter,Germany,M,35,84509.57,0
15773469,Clark,Germany,F,27,126494.82,0
15702014,Jeffrey,Spain,M,33,178798.13,0
15751208,Pirozzi,Spain,M,56,99398.36,0
15592461,Jackson,Germany,M,26,92840.67,0
15789484,Hammond,Germany,F,36,27758.36,0
15696061,Brownless,Germany,F,34,110431.51,0
15641582,Chibugo,Germany,M,43,196673.28,0
15638424,Glauert,Germany,F,35,113656.85,0
15755648,Pisano,France,F,21,18203.0,1
15703793,Konovalova,Germany,M,58,28373.86,0
15620344,McKee,France,M,29,33953.87,1
15812518,Palermo,Spain,F,37,44203.55,0
15779052,Ballard,Germany,F,25,58426.81,0
15770811,Wallace,France,M,36,145562.4,1
15780961,Cavenagh,France,F,21,22388.0,1
15614049,Hu,France,M,55,139161.64,1
15662085,Read,France,F,32,148210.64,1
15575185,Bushell,Spain,M,33,194239.63,0
15803136,Postle,Germany,F,41,98301.61,0
15706021,Buley,France,F,34,171413.66,1
15663706,Leonard,France,F,32,136458.19,1
15641732,Mills,France,F,36,26019.59,1
15701164,Onyeorulu,France,F,34,159235.29,1
15738751,Beit,France,F,46,1907.66,1
15805254,Ndukaku,Spain,F,75,114675.75,0
15762418,Gant,Spain,M,22,128643.35,0
15625759,Rowley,France,M,30,151869.35,1
15622897,Sharpe,France,F,46,93251.42,1
15767954,Osborne,Germany,F,28,156791.36,0
15757535,Heap,Spain,F,44,174205.22,0
15731511,Ritchie,France,M,45,147132.46,1
15809248,Cole,France,F,36,109614.57,1
15640635,Capon,France,M,29,172290.61,1
15676966,Capon,Spain,M,42,85982.47,0
15699461,Fiorentini,Spain,M,35,121277.78,0
15738721,Graham,Spain,M,41,64595.25,0
15693683,Yuille,Germany,M,29,197276.13,0
15604348,Allard,Spain,M,22,99645.04,0
15633059,Fanucci,France,M,34,6534.18,1
15808582,Fu,France,F,40,161848.03,1
15743192,Hung,France,F,44,167162.43,1
15580146,Hung,France,M,31,41970.72,1
15776605,Bradley,Spain,M,36,60536.56,0
15804919,Dunbabin,Spain,F,65,177655.68,0
15613854,Mauldon,Spain,F,46,30984.59,0
15599195,Stiger,Germany,M,32,10054.53,0
15812878,Parsons,Germany,F,36,36976.52,0
15602312,Walkom,Spain,M,33,71862.79,0
15744689,T'ang,Germany,M,35,99449.86,0
15803526,Eremenko,Germany,M,30,63082.88,0
15665790,Rowntree,Germany,M,39,27231.26,0
15715951,Thorpe,France,M,42,86797.41,1
15591100,Chiemela,Spain,M,36,22994.32,0
15609618,Fanucci,Germany,M,28,101300.94,0
15675522,Ko,Germany,F,30,74169.13,0
15705512,Welch,Germany,F,37,115638.29,0
15698028,Duncan,France,F,41,31766.3,1
15661670,Chidozie,Germany,F,31,199725.39,0
15600781,Wu,Germany,M,34,120834.48,0
15682472,Culbreth,France,M,34,38131.77,1
15580203,Kennedy,Spain,M,39,100130.95,0
15690673,Cameron,France,F,39,141069.88,1
15760085,Calabresi,Germany,F,48,198129.36,0
15779659,Zetticci,France,F,28,183646.41,1
15627360,Fuller,France,M,42,110265.24,1
15671137,MacDonald,France,F,52,8636.05,1
15782688,Piccio,Germany,M,56,46824.08,0
15575492,Kennedy,France,F,41,171378.77,1
15591607,Fernie,France,M,24,167256.35,1
15740404,He,France,F,34,124226.16,1
15718369,Kaodilinakachukwu,Germany,F,33,114935.21,0
15677871,Cocci,France,M,38,35608.88,1
15642004,Alekseeva,France,M,25,16459.37,1
15712543,Chinweike,Germany,M,39,124411.08,0
15584518,Arthur,Germany,F,50,34941.23,0
15802381,Li,Germany,F,34,167784.28,0
15610156,Ma,France,M,40,93165.34,1
15594408,Chia,Spain,F,48,75161.25,0
15640905,Vasin,Spain,F,35,8590.83,0
15698932,Groves,Germany,M,44,189543.9,0
15724944,Tien,France,M,34,180427.24,1
15628145,Forwood,France,F,43,193318.33,1
15713483,Greeves,Spain,M,52,159123.82,0
15612350,Taylor,France,F,31,126213.84,1
15800703,Madukwe,Spain,F,21,54141.5,0
15705707,Bennelong,Spain,F,29,141075.51,0
15754105,Olisanugo,France,M,37,24495.03,1
15703264,Chukwufumnanya,France,M,44,74836.34,1
15794413,Harris,France,M,32,878.87,1
15650237,Morgan,Spain,F,32,89520.75,0
15759618,Alexeeva,France,F,48,149892.79,1
15811589,Metcalfe,Spain,M,42,180800.42,0
15689044,Humphries,France,M,37,98646.22,1
15709368,Milne,France,F,43,109041.53,1
15679145,Chou,Spain,M,57,17941.16,0
15655007,Li,France,F,33,82996.47,1
15623595,Clayton,Spain,F,28,92067.35,0
15589975,Maclean,France,F,73,104719.66,1
15804017,Chigolum,Germany,F,33,112687.57,0
15692132,Wilkinson,Spain,F,22,84699.56,0
15641122,Wei,France,M,30,83473.82,1
15630910,Treacy,France,F,49,47125.11,1
15680772,Hu,Spain,F,36,106977.8,0
15658929,Taverner,Spain,M,29,55582.54,0
15585388,Sherman,Germany,M,31,139874.43,0
15724623,Taubman,Germany,F,24,162503.48,0
15588537,Robinson,Spain,F,41,196499.96,0
15574692,Pinto,Spain,F,39,40721.24,0
15611325,Wood,Germany,M,24,53134.3,0
15587562,Hawkins,France,F,29,164017.89,1
15613172,Sun,Germany,M,27,155996.96,0
15651022,Yost,Germany,M,44,5472.7,0
15586310,Ting,France,M,30,112187.11,1
15625524,Rowe,France,M,40,146457.83,1
15755209,Fu,Spain,F,35,27286.1,0
15645248,Ho,France,F,30,130553.47,1
15790355,Okechukwu,Germany,M,36,179351.89,0
15762615,Campbell,Spain,F,40,94774.12,0
15625426,Ashbolt,Germany,F,55,8080.85,0
15716334,Rozier,Spain,F,45,19482.5,0
15789669,Hsia,France,M,65,48071.61,1
15621075,Ogbonnaya,Germany,F,45,174531.27,0
15810845,T'ang,France,M,42,55470.78,1
15719377,Cocci,France,F,50,8546.87,1
15654506,Chang,France,M,32,95857.18,1
15771977,T'ao,France,F,39,194945.8,1
15708710,Ford,Spain,F,37,131521.72,0
15726676,Marshall,Spain,M,30,196108.51,0
15587421,Tsai,Germany,F,34,148564.76,0
15726931,Onwumelu,France,F,41,92982.61,1
15771086,Graham,France,F,36,17675.36,1
15756850,Golovanov,France,M,40,114996.43,1
15702741,Potts,France,M,32,86957.42,1
15679200,Crawford,Spain,M,29,128077.8,0
15594815,Aleshire,France,M,35,600.36,1
15635905,Moran,Spain,F,32,43001.46,0
15777892,Samsonova,Germany,M,37,158591.12,0
15656176,Jenkins,France,M,57,47847.19,1
15811127,Volkov,France,M,35,10488.44,1
15604482,Chiemezie,Spain,M,30,5978.2,0
15622911,Jude,France,M,42,121409.06,1
15600974,He,Spain,M,50,146145.93,0
15727868,Onuora,France,F,38,14374.86,1
15627801,Ginikanwa,Spain,M,33,94670.77,0
15773039,Ku,France,M,37,179670.31,1
15755262,McDonald,Spain,F,41,199304.74,0
15679531,Collins,France,M,34,151954.39,1
15684181,Hackett,France,M,45,142513.5,1
15612087,Dike,France,M,45,158264.62,1
15752047,Trevisano,Germany,M,33,169381.9,0
15624592,Tan,France,M,31,169915.02,1
15573152,Glassman,France,F,41,88852.47,1
15594917,Miller,France,F,34,40645.81,1
15785542,Kornilova,Germany,M,26,60427.3,0
15723488,Watson,Germany,M,47,157959.02,0
15680920,Marchesi,France,M,46,133007.34,1
15786308,Millar,Spain,F,33,176576.62,0
15659366,Shih,France,M,43,34888.04,1
15774854,Fuller,France,M,54,28737.71,1
15725311,Hay,France,F,31,98178.57,1
15787155,Yang,Spain,M,30,125010.24,0
15727829,McIntyre,France,M,42,167984.61,1
15733247,Stevenson,France,M,33,4861.72,1
15568748,Poole,Germany,M,45,108872.45,0
15699029,Bagley,France,M,37,198252.88,1
15774393,Ch'ien,France,F,30,26960.31,1
15676895,Cattaneo,Germany,F,39,85746.52,0
15637753,O'Sullivan,Germany,M,50,77206.25,0
15605461,Lucas,Germany,F,29,61048.53,0
15808473,Ringrose,France,M,72,111981.19,1
15627000,Freeman,France,M,40,62232.6,1
15787174,Sergeyev,France,F,37,156105.03,1
15723886,Fiore,Germany,M,20,150135.38,0
15704769,Smith,France,F,67,93146.11,1
15772896,Dumetochukwu,Germany,M,42,33462.94,0
15711540,Pacheco,France,F,29,144375.0,1
15764866,Synnot,Germany,F,43,55803.96,0
15794056,Johnston,France,F,46,89048.46,1
15795149,Stevens,France,M,28,162812.16,1
15812009,Grant,Spain,M,38,136259.65,0
15651001,Tsao,Germany,F,39,124052.97,0
15813844,Barnes,France,M,37,74158.8,1
15596175,McIntosh,Germany,M,67,45071.09,0
15576269,Madison,Spain,M,34,62030.06,0
15797219,Ifesinachi,France,F,40,131953.23,1
15685500,Glazkov,Germany,M,26,79414.0,0
15599792,Dimauro,France,F,26,199638.56,1
15657566,Wieck,Germany,M,24,157577.29,0
15772423,Liao,Germany,M,54,134420.75,0
15628112,Hughes,Germany,F,36,99805.99,0
15753754,Morrison,Spain,F,34,97932.68,0
15793726,Matveyeva,France,F,79,170968.99,1
15694717,Ku,Germany,M,37,57558.95,0
15665834,Cheatham,Spain,M,28,176713.47,0
15765297,Yao,Spain,M,41,34283.23,0
15636684,Kirkland,France,M,34,198637.34,1
15592979,Rose,Germany,F,34,156917.12,0
15750803,Jess,France,F,30,50457.2,1
15607178,Welch,Germany,M,38,140075.55,0
15713853,Ifeajuna,Germany,M,42,65323.11,0
15673481,Morton,Spain,F,48,64323.24,0
15686776,Rossi,France,F,32,14956.44,1
15673693,Reppert,France,F,26,111879.21,1
15700696,Kang,Spain,M,31,18606.23,0
15813163,Ch'iu,Spain,F,36,123137.01,0
15653857,Wallis,France,M,34,148528.24,1
15777076,Clark,France,M,36,13898.31,1
15717398,Fielding,Spain,F,39,81259.25,0
15799217,Zetticci,Germany,F,35,161051.75,0
15787071,Dulhunty,Spain,M,41,191599.67,0
15619955,Bevington,Germany,M,34,48559.19,0
15796505,Boyle,Germany,F,34,186339.74,0
15725166,Newton,France,M,30,33159.37,1
15800116,Bowman,Germany,M,28,93883.53,0
15758685,Dubinina,Spain,F,37,110899.3,0
15694456,Toscani,France,M,62,11199.04,1
15767339,Chiazagomekpere,France,F,53,189992.97,1
15683562,Allen,France,M,35,164255.69,1
15782210,K'ung,France,M,46,152167.79,1
15668893,Wilsmore,France,M,39,33949.67,1
15669169,Hargreaves,Spain,M,29,68143.93,0
15643024,Huang,Germany,M,35,47251.79,0
15699389,Ch'ien,France,M,42,25885.72,1
15708608,Wallwork,France,F,22,192633.85,1
15626144,Chu,France,M,40,34577.36,1
15573112,Kang,Spain,M,29,161229.84,0
15790678,Davidson,France,F,32,100816.29,1
15727556,O'Donnell,Spain,F,26,181694.44,0
15697307,Nnachetam,Spain,M,34,79078.91,0
15652266,Chidiebele,Germany,M,42,137316.32,0
15607098,Ahmed,Spain,F,41,194926.86,0
15655774,Booth,France,M,27,51285.49,1
15590241,Chuang,Spain,F,34,150401.53,0
15785819,Shao,France,M,38,112491.96,1
15723654,Tsao,France,M,25,73656.38,1
15774510,Tien,France,F,31,106636.89,1
15684173,Chang,Spain,F,44,155853.52,0
15650068,Johnson,France,M,58,162599.51,1
15811490,French,France,M,33,103737.82,1
15803976,Efremov,France,F,31,160990.27,1
15682541,Hartley,Spain,F,36,15462.84,0
15695699,Calabrese,France,M,35,10334.05,1
15624188,Chiu,France,F,33,190686.16,1
15812191,Brennan,France,M,33,94440.45,1
15636673,Onwuatuegwu,France,M,31,28257.63,1
15594898,Hewitt,France,M,43,170034.95,1
15660211,Shih,Germany,M,35,31824.29,0
15773972,Balashov,France,M,50,127166.49,1
15746726,Doyle,Germany,M,31,44937.01,0
15712287,Pokrovskii,France,F,80,188603.07,1
15702919,Collins,Germany,M,30,145111.37,0
15674398,Russo,France,M,38,171463.83,1
15797960,Skinner,Germany,F,59,182822.5,0
15631868,Robertson,Spain,M,36,87213.33,0
15581539,Atkinson,Spain,M,37,57175.32,0
15662736,Doyle,France,M,49,120540.83,1
15666252,Ritchie,Spain,M,42,28714.34,0
15677512,McEncroe,Spain,F,22,85426.28,0
15626114,Pearson,France,M,24,46170.75,1
15810834,Gordon,Spain,F,57,64448.36,0
15678910,Ts'ai,France,F,30,16278.97,1
15694408,Lung,France,M,40,182855.42,1
15585215,Yuan,France,F,31,50404.72,1
15682757,Pardey,France,M,30,107640.25,1
15736601,Tai,France,M,35,134132.65,1
15601848,Scott,France,M,35,103480.69,1
15736008,Hunter,France,F,46,108761.05,1
15669064,Mazzanti,Germany,M,35,179012.3,0
15624528,L?,Germany,M,26,95145.14,0
15598493,Beach,France,M,50,72143.44,1
15601274,Hsieh,Spain,F,40,19162.89,0
